lat,long,zero_name,first_name,first_type,second_name,second_type,third_name,third_type,zero_type
51.56,0.68,2 Badgers Cl,Almond Rocks,"['point_of_interest', 'establishment']",Badgers Close,"['bus_station', 'transit_station', 'point_of_interest', 'establishment']",Southend-on-Sea,"['locality', 'political']",['route']
51.59,0.57,Na,Na,Na,Na,Na,Na,Na,Na
51.58,0.42,28-16 King Edward Rd,Tattenham Road,"['bus_station', 'transit_station', 'point_of_interest', 'establishment']",Tattenham Road,"['transit_station', 'point_of_interest', 'establishment']",Tattenham Road,"['bus_station', 'transit_station', 'point_of_interest', 'establishment']",['route']
51.58,0.04,London,Na,Na,Na,Na,Na,Na,"['locality', 'political']"
51.77,0.56,Boreham,Na,Na,Na,Na,Na,Na,"['locality', 'political']"
51.63,0.22,Na,Na,Na,Na,Na,Na,Na,Na
51.55,-0.02,London,Stratford,"['sublocality_level_1', 'locality', 'sublocality', 'political']",Na,Na,Na,Na,"['locality', 'political']"
51.6,0.02,Woodford Green,Improve Your Smile,"['dentist', 'health', 'point_of_interest', 'establishment']",Tesco Express,"['supermarket', 'convenience_store', 'grocery_or_supermarket', 'store', 'food', 'point_of_interest', 'establishment']",G S R Dental Studio,"['dentist', 'health', 'point_of_interest', 'establishment']",['route']
51.73,0.52,Chelmsford,Sandon,"['locality', 'political']",Na,Na,Na,Na,"['locality', 'political']"
51.69,-0.23,Na,Na,Na,Na,Na,Na,Na,Na
51.57,0.64,44-24 Ringwood Dr,Paul Gee Entertainments,"['point_of_interest', 'establishment']",T L C,"['point_of_interest', 'establishment']",Andy's Driving School,"['point_of_interest', 'establishment']",['route']
51.87,0.58,341-381 Cressing Rd,Braintree,"['locality', 'political']",Na,Na,Na,Na,['route']
51.53,0.14,Thames Gateway,Dagenham,"['locality', 'political']",Na,Na,Na,Na,['route']
51.56,0.65,68-92 Bellhouse Ln,Crawford I.T Solutions,"['point_of_interest', 'establishment']",Southend-on-Sea,"['locality', 'political']",Na,Na,['route']
51.54,0.07,67-154 Cowbridge Ln,UKCHE - UK Centre for Higher Education,"['university', 'point_of_interest', 'establishment']",Bytes Zone - One Solution Network,"['point_of_interest', 'establishment']",Barking,"['locality', 'political']",['route']
51.58,0.13,12 Shepherds Cl,Na,Na,Na,Na,Na,Na,['route']
51.57,0.3,Great Warley,Na,Na,Na,Na,Na,Na,"['locality', 'political']"
